,eq,60N,60S
1980-12-07,-29.15407793865513,46.45798122518596,-20.99496779852518
1980-12-08,-28.867102356640686,47.244310698926604,-20.83393639155529
1980-12-09,-28.994880727441572,48.57937382177313,-20.595212420561005
1980-12-10,-29.131889216834256,48.2517068726664,-20.687033608417867
1980-12-11,-29.557903764666044,46.607164665475366,-20.01480382449146
1980-12-12,-29.58757013756806,45.52823686162339,-19.157124048893206
1980-12-13,-29.66157746796019,46.19188261752727,-19.205009717175304
1980-12-14,-29.763275546496853,48.08932942811608,-18.765302009445936
1980-12-15,-29.59841960227513,49.488366887419026,-18.22734450435996
1980-12-16,-29.88515287754168,48.940097238613234,-18.06182805709378
1980-12-17,-29.48289710985355,51.12359964354238,-18.629092883209452
1980-12-18,-29.23924013839038,51.429953567250976,-18.61407295523087
1980-12-19,-29.349960331835366,51.65972641685432,-18.72100524967634
1980-12-20,-29.744004414023003,51.89893382005303,-18.465170580283043
1980-12-21,-30.135691983094556,51.73456499241705,-17.982485971744076
1980-12-22,-30.021683908701917,51.24146153273406,-17.66338178273963
1980-12-23,-30.239401818190046,51.897079870063656,-16.944244266250273
1980-12-24,-30.72001027067665,54.24617377683876,-16.61132868001639
1980-12-25,-31.020712805189287,57.63309640487382,-16.483612449698388
1980-12-26,-31.254832571172287,58.67893490471704,-15.912773626867109
1980-12-27,-31.345881485094328,59.19017523731755,-15.910714512200538
1980-12-28,-31.63555089709018,59.42583784376673,-15.36309260644258
1980-12-29,-31.599265780614733,60.12926814479206,-16.287228319183487
1980-12-30,-31.69268420403196,58.15787065234218,-16.14757129293426
1980-12-31,-31.984896721649424,59.02448005901724,-15.878067584745484
1981-01-01,-32.23162401991129,58.15279519211905,-15.190685796344024
1981-01-02,-32.18189453038287,57.192533225750715,-14.936598233440249
1981-01-03,-32.0450326315837,56.213340106091,-14.656016744873993
1981-01-04,-32.00756264162918,58.20151974781146,-14.372069045589223
1981-01-05,-31.926422956049038,58.253645340409726,-14.069682964841691
